type,start,end,duration,tCal,actCal,maxHR,avgHR,distance,speed
Traditional Strength Training,2022-07-14 6:56,2022-07-14 7:38,0:41:53,207.14,147.48,112,79.84,,
Stair Climbing,2022-07-14 7:39,2022-07-14 8:25,0:45:31,503.26,419.85,152,136.92,,
Traditional Strength Training,2022-07-15 7:28,2022-07-15 8:24,0:55:26,259.72,165.55,126,89.34,,
Swimming,2022-07-15 15:06,2022-07-15 15:40,0:33:57,122.2,54.49,124,71.77,,0.181
Running,2022-07-16 6:37,2022-07-16 7:44,1:06:56,867.52,752.35,171,154.59,8.01,7.18
Running,2022-07-17 7:01,2022-07-17 8:12,1:11:01,856.13,735.49,150,137.55,8.01,6.77
Running,2022-07-18 6:52,2022-07-18 7:36,0:43:55,635.11,572.34,185,165.84,6.01,8.21
Traditional Strength Training,2022-07-18 8:11,2022-07-18 8:46,0:35:47,226.6,154.65,140,109.06,,
Running,2022-07-19 6:33,2022-07-19 7:49,1:15:55,967.03,858.81,165,147.65,9.06,7.16
Traditional Strength Training,2022-07-19 8:07,2022-07-19 8:41,0:34:20,198.48,149.48,134,108.32,,
Running,2022-07-20 6:48,2022-07-20 7:21,0:32:35,300.68,253.96,176,130.8,2.57,4.72
Traditional Strength Training,2022-07-20 7:34,2022-07-20 8:03,0:28:39,196.57,137.99,141,111.34,,
Stair Climbing,2022-07-21 6:51,2022-07-21 7:37,0:45:38,493.98,410.79,140,129.21,,
Running,2022-07-22 6:30,2022-07-22 6:42,0:10:04,123,105.86,142,125.86,1.14,6.79
Running,2022-07-22 6:44,2022-07-22 7:13,0:29:42,426.22,383.82,180,156.77,4.01,8.1
Running,2022-07-22 7:17,2022-07-22 7:26,0:09:05,111.45,98.4,158,144.96,1.01,6.67
Traditional Strength Training,2022-07-22 7:38,2022-07-22 8:13,0:35:04,202.75,132.07,125,101.67,,
Running,2022-07-23 6:36,2022-07-23 7:41,1:04:19,871.9,780.15,165,153.83,8.01,7.47
Running,2022-07-24 6:08,2022-07-24 6:45,0:36:56,533.98,481.09,178,153.87,5.01,8.13
Running,2022-07-25 6:34,2022-07-25 7:24,0:50:29,691.62,600.75,161,152.23,6.01,7.14
Swimming,2022-07-25 10:47,2022-07-25 11:04,0:17:20,139.86,114.79,137,83.6,,0.511
Swimming,2022-07-25 14:00,2022-07-25 14:09,0:08:56,28.76,15.65,132,86.25,,0.153
Running,2022-07-26 7:47,2022-07-26 8:31,0:43:43,528.34,466.12,153,139.49,5,6.87
Running,2022-07-26 8:34,2022-07-26 8:57,0:22:29,287.7,235.82,152,141.88,2.51,6.7
Swimming,2022-07-26 16:44,2022-07-26 17:02,0:18:23,111.29,65.13,114,73.09,,0.148
Traditional Strength Training,2022-07-27 6:59,2022-07-27 7:40,0:40:52,283.75,225.56,172,107.36,,
Swimming,2022-07-27 7:50,2022-07-27 8:01,0:11:29,136.61,119.9,162,116.69,,1.19
